id,first name,last name,DOB,hire date,job id,salary,depart id,street,city,state,zip,lng,lat
101,Kristen,Alexander,1986-11-08,2011-02-01,Learning mentor,58480,1,4639 York Haven Apt. 246,Port David,Maryland,47975,43.379659,-41.014874
102,Brandon,Jenkins,1981-08-08,2014-09-14,Garment/textile technologist,71023,5,173 Luis Passage Suite 304,Barneschester,Arkansas,25880,-173.730425,61.0385215
103,Jordan,Romero,1924-07-02,2015-01-17,Metallurgist,97550,8,50042 Mark Ridge Apt. 165,Alanbury,Illinois,79657,-139.668921,72.645010
104,Chelsea,Goodwin,1969-05-30,2016-01-20,Radiation protection practitioner,115094,1,978 Chavez Cliffs,Huntshire,Nebraska,57421,-117.050078,-37.9280045
105,Jeremiah,Brooks,1936-01-15,2011-07-06,Dancer,122653,9,3966 Bridget Meadows,Samanthatown,Vermont,02782,-12.785828,-65.1682425
106,Megan,Bennett,1984-10-14,2020-06-20,Public relations officer,92921,5,59624 Mcclure Divide Apt. 406,Millerside,Massachusetts,44064,149.305260,-55.0075745
107,Kaitlyn,Jenkins,1968-05-26,2014-10-27,"Horticulturist, amenity",48427,7,0776 Lee Lakes,Port Rubenberg,Oklahoma,70702,-45.740188,-25.017580
108,Joshua,Collins,1955-10-14,2012-12-16,Microbiologist,63056,8,95507 Jason Summit Apt. 405,Morganview,Kansas,85938,77.780823,-83.5120765
109,Ryan,Kelley,1962-11-05,2013-06-01,Tax inspector,50865,1,325 Anderson Tunnel Apt. 667,Port Caitlin,South Dakota,15921,-1.810995,18.258562
110,Jacqueline,Fry,1956-11-18,2010-11-27,Applications developer,79160,10,045 Lopez Rapids,South Wayneberg,West Virginia,26600,168.008836,-44.6941845
111,Richard,Gonzalez,1927-09-08,2010-12-01,Patent examiner,28023,2,110 Jeffrey Fork,Osborneberg,Indiana,93347,114.307869,-79.6386585
112,Sean,Thompson,1934-11-29,2020-05-22,"Librarian, academic",109176,6,736 Bishop Land Suite 708,East Amandashire,Missouri,03404,-2.480396,-32.774087
113,Alicia,Gomez,1947-12-20,2013-07-26,Product manager,45032,2,048 Thompson Valleys,West Gerald,Connecticut,98040,-122.402151,-39.8064575
114,Luis,Robinson,1952-12-26,2014-05-27,Firefighter,14599,3,797 John Inlet,South Richard,New Hampshire,83829,114.761154,-4.0402475
115,Kevin,Clark,1966-06-29,2011-11-11,Water quality scientist,41047,2,60598 Pope Pike,Hortonchester,Utah,76977,120.275493,2.7495455
116,Randy,Kramer,1950-02-23,2014-10-23,Travel agency manager,59439,9,525 Stout Squares Suite 667,Michaelfurt,Oregon,63159,171.467841,-14.918647
117,Karen,Owens,1948-01-23,2019-07-09,Education administrator,23391,3,738 Sally Villages,North Jonathanfurt,Georgia,12257,106.735617,72.526698
118,Wendy,Davis,1966-08-06,2014-09-21,Make,149849,1,6474 Donald Squares,New Crystalmouth,Oklahoma,17651,-33.995361,89.3533955
119,Jacqueline,Wells,1969-01-29,2010-11-14,"Designer, blown glass/stained glass",54581,5,2848 Michelle Ports,Matthewbury,Arkansas,41161,-7.634759,-11.0835525
120,Cameron,Wright,1987-06-03,2010-01-30,Glass blower/designer,107275,3,9545 Robles Garden,Cameronfurt,Maine,73076,40.932737,-34.6531455
121,William,Robinson,1985-12-09,2015-08-04,Company secretary,14224,3,16281 Ryan Glen Suite 215,Port Jessica,North Dakota,70048,50.757285,-15.182631
122,Christopher,Sweeney,1984-12-31,2012-02-15,"Presenter, broadcasting",61204,4,6936 Jones Islands,Fredchester,California,80089,55.452981,-80.8696525
123,Stephanie,Powell,1937-07-07,2020-02-10,Physiological scientist,103205,7,6147 Flores Cliffs Suite 255,Lake Patricia,New Jersey,59201,-145.219496,-20.1545615
124,Tina,Hunt,1988-11-06,2013-07-08,Sales executive,112309,9,7820 Anthony Route Suite 435,Port Sarah,Michigan,16960,-176.252057,38.615625
125,James,Bates,1961-12-01,2015-05-28,Biomedical scientist,63049,6,495 Cervantes Village,Thomasbury,Maine,92039,5.169999,42.2007655
126,Tammy,Beck,1930-03-18,2010-06-07,Solicitor,83856,4,68010 Love Wells Suite 434,Port Emmaberg,New York,08674,-20.179892,-75.705077
127,Autumn,Taylor,1972-11-16,2018-06-28,Food technologist,142319,1,0741 Taylor Isle Suite 917,West Stephen,Illinois,35129,-97.130717,68.0874695
128,Michelle,King,1950-06-20,2019-04-13,"Doctor, hospital",128869,2,3392 Ryan Forge,South Kimberlyborough,New York,30022,-83.214940,-8.0531415
129,Victoria,Brown,1938-07-23,2019-03-09,Seismic interpreter,83793,4,85087 Wright Circles,Hendricksshire,Alabama,77012,-83.149632,-51.377181
130,Nicholas,Mclaughlin,1973-04-06,2019-10-25,Applications developer,94140,3,95514 Erica Walk,Harperstad,Missouri,81816,-143.067578,-68.8450325
131,Jennifer,Levine,1935-02-01,2017-09-05,"Administrator, sports",37962,9,0247 Jonathan Port Suite 921,Johnsonstad,Utah,25074,53.642278,44.5766745
132,Julie,Walsh,1995-04-14,2011-03-30,"Administrator, Civil Service",107211,9,108 Avila Village Apt. 481,Port Stephenshire,New York,46154,129.017554,-4.9628495
133,George,Sweeney,1927-11-14,2018-01-29,Building control surveyor,27923,10,317 Campbell Port,Juliabury,Arizona,28886,-55.225802,-77.6902965
134,Trevor,Moore,1964-08-20,2015-12-25,"Radiographer, diagnostic",140284,1,47126 Goodwin Inlet,Lisaville,Kansas,55322,-33.394628,21.2874765
135,Melissa,Mendez,1978-06-13,2014-06-05,Data scientist,40293,10,849 Berry Mount Suite 268,Lake Charleshaven,South Dakota,39335,-120.369203,-45.0647655
136,Kim,Wheeler,1978-08-31,2020-10-22,Arts administrator,97820,4,689 Olivia Key,South Christopher,Utah,29269,102.206625,25.879356
137,Amanda,Johnson,1994-11-30,2020-02-28,"Accountant, chartered",11026,9,45231 Rice Island Suite 343,East Brittany,Wyoming,20564,154.096728,-18.9759815
138,Elaine,Graves,1943-01-20,2011-01-29,"Restaurant manager, fast food",121699,1,264 Watson Junction,South Jillberg,Alabama,34798,100.859907,31.133756
139,Melissa,Owen,1953-05-10,2010-03-14,Customer service manager,39138,8,4809 Elizabeth Fork Suite 942,West Jamesbury,New Jersey,48430,-18.812476,44.395058
140,Brandon,Gomez,1957-05-19,2015-02-24,Manufacturing systems engineer,19927,3,77456 Sawyer Brook Suite 603,Campbellborough,Colorado,78176,81.261683,-79.2304315
141,Kelly,Robinson,1981-06-20,2020-01-08,"Nurse, mental health",10014,5,9158 Joshua Turnpike,Paulashire,Montana,21168,-20.430649,-59.0426415
142,Christopher,Johnson,1977-05-29,2018-08-10,Barrister,113979,1,48552 Matthew Center,Jonesmouth,Utah,24385,-4.417306,-77.5826495
143,Alex,Ortiz,1951-03-18,2019-11-26,Industrial buyer,11238,1,1091 Vega Wall,New Patrick,Utah,01817,39.519485,-19.4196175
144,Stephanie,Young,1950-10-02,2018-03-14,Psychiatrist,35436,7,7759 Jennifer Course,East Brenda,Louisiana,33452,-63.395076,87.8247625
145,Denise,Young,1954-01-22,2010-06-09,"Designer, furniture",17019,7,19776 Taylor Ramp Suite 017,New Matthew,Texas,92460,-130.055053,53.237703
